,empresa,cargo,sueldo,ubicación,ultima_actualizacion,detalles
10,IT America,Java Backend Developer (100% Remote),$ 0-100,"West Mclean, Va, VA",moments ago,"3-5 years of develop and integrate J2EE/Java application
Must have enterprise applications development experience using EJB, JSP, JMS,XML/SOAP Or REST, JSF
Must have hands-on experience with backend development experience
Knowledge of application servers; WebLogic, Tomcat
Knowledge of with build tool ANT, Maven and LinuX
Core Java"
11,IT America,Salesforce Lead,$ 70-70,"Carmel, In, IN",moments ago,"Urgent Need
Title: Salesforce Tech Lead
Location: Carmel, IN
REach me joem AT Itamerica.com
Salesforce.com experience with Good Experience in configuration and customization
Involved in Requirement Analysis, Application Development, Data Migration and Unit Testing and code deployment
Experienced in Lightning Development and designing web service callouts based on SOAP and REST
Proficiency in building Apex Classes, Triggers, Workflows, Process Builder, Batch Apex, HTML and Javascript
Certifications: Salesforce Certified Platform Developer I, Salesforce Certified Administrator, Salesforce Certified Platform App Builder, Salesforce Certified Sales Cloud Consultant"
12,IT America,Oodo ERP Architect (100% Remote),$ 65-70,"New York, Ny, NY",moments ago,"Job: Odoo ERP solution architect
Location: New York / Remote
Looking for solution architect, you will lead in configuring various parts of Odoo including, Inventory, Purchasing, Manufacturing and PLM modules.
Responsibilities:
Able to identify the requirement and configure solution to business requirements
Configure Odoo and add customization where required.
Develop configurations that are required by the business
Must-Have
Odoo framework knowledge
Strong experience in Odoo configuration
Minimum 2 years of experience as Odoo Configurator
Nice to Have
Experience with Inventory, Purchasing, PLM and Manufacturing modules.
Techno-function"
13,Experis,Senior Director of IT,$110000.00 - $160000.00 per annum,"Sacramento, CA",moments ago,"Immediate full-time position for a Senior Director, Information Technology for a non-profit educational organization. Ideal candidate will have background leading a diverse team encompassing infrastructure administrators, web developers, DBAs, data analysts and entorganizationrise engineers. Must have at least five years of progressive leadership experience and experience deploying, optimizing, securing and supporting virtualized, hosted and cloud-based complex data systems, applications and infrastructure. Experience in education, healthcare or criminal justice domain is helpful.

The Senior Director, Information Technology is a full-time senior management position that oversees, guides, and is accountable for organization's IT staff, technology resources, practices, services, applications, data systems and infrastructure. The Senior Director, Information Technology drives innovation through collaboration with organization's executives, and provides technical leadership and mentorship to maximize the availability, alignment, coherence, efficiency, and value of organization's technology tools, resources and design ideology with the organizational strategy and mission, as well as all internal/external initiatives and partner engagements.

Daily Responsibilities Include:
1. Coach, mentor, lead and grow a high performing and diverse team designed to effectively execute business initiatives in alignment with organizational mission, strategy and values, including: managers/supervisors/directors, DBAs, IT and systems administrators, architects and support staff
2. Interface with Executive Management to understand, advance, implement and maximize alignment to organizational strategy, goals, structure and objectives
3. Bring thought leadership, subject-matter and technical expertise to inform and advance internal projects, client/partner engagements and the company's mission
4. Work in coordination with the Project Management Office and organizational leadership to drive the efficient, timely and effective completion of programs, projects and initiatives including the determination of scope, cost, timelines and milestones
5. Oversee and promote innovation in the design, development and methods, processes, infrastructure, services and systems used to consolidate and analyze diverse data sources to generate actionable insights and solutions for clients/partners and company
6. Aggressively drive innovation in emerging technology practices that support big data aggregation, analysis, visualization, machine learning and associated data science and research fields and practices
7. Assess complex problems to identify causes, gather and process relevant information, and generate solutions.
8. Genuinely understand and effectively communicate the vision, strategy, deliverables and results of company initiatives spanning multiple fields (e.g., education, healthcare, justice, social and public services, etc.) to audiences within and outside the organization
9. Provide leadership in the thoughtful identification, articulation, design and development/implementation of appropriate infrastructure (cloud and on-premises), frameworks, models, tools, resources and processes to support the work of the organization
10. Serve as an organizational representative, team lead and subject matter expert (SME) in client and leadership team meetings, during development and design of solutions, and in the adoption of advanced modeling techniques, tools and architectures
11. Work with senior management to support organizational initiatives and strategy, and to provide updates and information regarding the status of initiatives and other activities as directed
12. Implement, maintain and support tools, systems and resources (e.g., network infrastructure, hardware, software, access control, servers, etc.) used by company on a day-to-day basis
13. Support executive leadership team as needed with a variety of projects

Knowledge, Skills, Abilities, and Qualifications:
1. Excellent communication skills
2. Ability to lead, mentor, motivate and develop a high-performing team
3. A strong command of the English language, grammar, and spelling
4. Strong knowledge of MS Office, including Word, Excel, PowerPoint and Outlook
5. Exceptional organizational skills, ability to multi-task and work under tight timelines and competing priorites
6. Well-developed analytical and problem solving skills.
7. Attention to detail and a strong focus on validating output and outcomes
8. Flexibility and ability to adapt to changing landscape and duties
9. An intrinsic commitment to improving public education, equity and life outcomes

Education and Experience Requirements:
1. An advanced degree in a relevant field or significant work experience and demonstrated proficiency in applicable technical areas
2. 5+ years of progressive leadership experience in a relevant field
3. Experience deploying, designing, optimizing, securing and supporting virtualized, hosted and cloud-based high-availability, complex data systems, applications and infrastructure
4. Familiarity with emerging and existing information technology and subject-matter-specific (e.g., public education, healthcare, criminal justice, etc.) industry-specific security and access control best practices
5. Experience effectively communicating technical information for a range of audiences in both written and oral settings
6. Experience working on large scale cloud native and internally hosted big data and data science initiatives
7. Experience with machine learning, predictive analytics and/or data visualization
8. Peer-reviewed publications and/or conference presentations in relevant subject-matter"
14,IT America,SFDC Tech Lead (100% Remote),$ 0-100,"Plano, Tx, TX",moments ago,"6-9 of experience working as a Lead Developer and using Salesforce lightening / classic platform
Salesforce development and integration experience with Lightning Aura Platform and LWC, Visualforce, Apex (classes/controllers/triggers), SOQL, App Exchanges, and Force.com. E-commerce solutions, platform apps, custom apps, design app data models, logic, interfaces, and security
Experience with integration of Salesforce with other systems (Middleware, REST/SOAP APIs)
Salesforce Certified Platform Developer, Salesforce Certified Advanced Administrator (ADM201), experience developing UI pages using Lightning framework preferred.
Lead a team of developers to build , test and verify that solutions will meet the business requirements
Detail-oriented individual with the ability to quickly ramp up on new clients, their business needs, and technologies"
15,Experis,Release Configuration Manager,$60 - $65 per hour,"Rancho Cordova, CA",moments ago,"Immediate 12-month contract (with potential to convert to full time) for a skilled Release Manager to join a growing software team that develops biometric security solutions. The Release Manager should be experienced with configuration build and deployment of applications based on Java and .Net, in Linux/Unix based environments. Qualified candidates will be experienced in Azure deployment and CI/CD.

Daily Responsibilities:


Responsible for Configuration Management and Release Management.

Collaborate with Dev/QA/Systems Engineering team members to ensure right builds are deployed to target environments without issues.

Develop process/tools to minimize the deployment times and eliminate manual errors.

Develop tools/scripts to automate deployments and smoke tests.

Research and innovate new deployment strategies to implement CI/CD.

Introduce/Implement project profiles on build servers for components using tools like Jenkins/VSTS/MSBuild/WixToolset.

Generate builds and corresponding releases on TFS/Docker or other compatible tools for all the components.

Develop tools/scripts to enable Auto deployment of component builds using tools like PowerShell/Unix/JavaScript/Python.

Leverage Ansible/Chef/Puppet like tools to perform Release Management & configuration management (SCM) activities for all the environments.

Implement solutions on Cloud based infrastructure like Azure or AWS. Develop scripts using MSSQL/MySQL/Oracle and others.
* Development of CI/CD pipeline automation using tools like GitHub/Flyway/Jenkins/Selenium/SoapUI/Ansible/Octopus Deploy/Kubernetes/Artifactory/Azure/Nagios/Ganglia.


Qualifications and Skills:


Experience in Linux/Unix based application servers including JBoss/Wildfly, Tomcat, and expertise using Source Control tools like TFS, SVN, GIT, Nexus, Kallithea, RhodeCode etc.

Excellent understanding of configuration build and deployment of applications based on Java and .Net Technologies using appropriate tools/resources.

Knowledge to write DB queries, perform data validations and other validation scripts.

Hands-on experience with Agile methodology.

Excellent presentation and communication skills and the ability to work in a team-based environment are essential.


Required Experience:


3 years' experience Azure deployments

3 years' experience with CI/CD

4-5 years' experience with JBoss/Wildly configuration


Desired Skills:
Docker, Unix/Linux, Team Foundation Server (TFS), Jenkins, WIN SCP, Visual Studio, Docker, Jenkins"
16,IT America,SFDC Tech Lead (100% Remote),$ 0-100,"Chicago,il, IL",moments ago,"SFDC certification (min. PD1, Admin)
Strong understanding of Force.com framework, coding skills (APEX, Visualforce and the Web Services API) adhering to the best practices of Salesforce.
Strong knowledge on sharing model, creation and maintenance of custom objects and fields, handling bulk data migration, workflows, validation rules, page layouts, and troubleshooting of Apex and integrations.
Good experience working with Apex Triggers, Apex Classes, Batch Apex, Queueable Apex, REST, SOAP (JSON and XML).
Experience in developing integrations using Rest APIs and Webservices
Experience in developing solutions with salesforce declarative tools; workflows, Process builders, validation rules, Flows and approval processes.
Salesforce Lightning configuration and Development experience
Ensuring data flows through the various pieces of the integration smoothly"
17,IT America,SFDC Developer (Lightning Exp) (100% Remote),$ 0-100,"Buffalo, Ny, NY",moments ago,"Candidate should have over 8+ years of experience in Salesforce.
Should be proficient in Salesforce Apex, Triggers, and Visual force pages.
Should be proficient with Continuous Integration and tools like COPADO.
Should be proficient with HLD and LLD and Design and Architecture of the Systems.
Candidate should have good knowledge of SOAP, REST integrations.
Should have certified in Salesforce Admin and Salesforce Developer and would be an advantage if Sales& Service Cloud are completed.
Candidate should be familiar with the latest nCino modules like Asset Lending, Agriculture Lending, Treasury modules, and also Digitalization tools.
Should be familiar with banking terminology and need to be familiar with Defect tracking tools and requirement gathering tools.
Minimum or required qualifications
Candidate should have over 8+ years of experience in Salesforce.
Strong experience in Lightening.
Should be proficient in Salesforce Apex, Triggers, and Visual force pages.
Should be proficient with Continuous Integration and tools like COPADO.
Candidate should have a thorough understanding of all aspects of Salesforce, including Sales Cloud, Service Cloud, Marketing Cloud, and Communities and Chatter.
Candidate should have a strong capability in converting Business requirements in Technical Work and perform end to end design.
Preferred qualifications.
Claim Vantage working knowledge would be a plus but not required.
Candidate should have the ability to coordinate with offshore team members."
18,Experis,Senior Director of IT,$110000.00 - $160000.00 per annum,"Sacramento, CA",moments ago,"Immediate full-time position for a Senior Director, Information Technology for a non-profit educational organization. Ideal candidate will have background leading a diverse team encompassing infrastructure administrators, web developers, DBAs, data analysts and enterprise engineers. Must have at least five years of progressive leadership experience and experience deploying, optimizing, securing and supporting virtualized, hosted and cloud-based complex data systems, applications and infrastructure. Experience in education, healthcare or criminal justice domain is helpful.

The Senior Director, Information Technology is a full-time senior management position that oversees, guides, and is accountable for organization's IT staff, technology resources, practices, services, applications, data systems and infrastructure. The Senior Director, Information Technology drives innovation through collaboration with organization's executives, and provides technical leadership and mentorship to maximize the availability, alignment, coherence, efficiency, and value of organization's technology tools, resources and design ideology with the organizational strategy and mission, as well as all ERP initiatives and partner engagements.

Daily Responsibilities Include:
1. Coach, mentor, lead and grow a high performing and diverse team designed to effectively execute business initiatives in alignment with organizational mission, strategy and values, including: managers/supervisors/directors, DBAs, IT and systems administrators, architects and support staff
2. Interface with Executive Management to understand, advance, implement and maximize alignment to organizational strategy, goals, structure and objectives
3. Bring thought leadership, subject-matter and technical expertise to inform and advance internal projects, client/partner engagements and the ERP mission
4. Work in coordination with the Project Management Office and organizational leadership to drive the efficient, timely and effective completion of programs, projects and initiatives including the determination of scope, cost, timelines and milestones
5. Oversee and promote innovation in the design, development and methods, processes, infrastructure, services and systems used to consolidate and analyze diverse data sources to generate actionable insights and solutions for clients/partners and ERP
6. Aggressively drive innovation in emerging technology practices that support big data aggregation, analysis, visualization, machine learning and associated data science and research fields and practices
7. Assess complex problems to identify causes, gather and process relevant information, and generate solutions.
8. Genuinely understand and effectively communicate the vision, strategy, deliverables and results of ERP initiatives spanning multiple fields (e.g., education, healthcare, justice, social and public services, etc.) to audiences within and outside the organization
9. Provide leadership in the thoughtful identification, articulation, design and development/implementation of appropriate infrastructure (cloud and on-premises), frameworks, models, tools, resources and processes to support the work of the organization 10. Serve as an organizational representative, team lead and subject matter expert (SME) in client and leadership team meetings, during development and design of solutions, and in the adoption of advanced modeling techniques, tools and architectures
11. Work with senior management to support organizational initiatives and strategy, and to provide updates and information regarding the status of initiatives and other activities as directed
12. Implement, maintain and support tools, systems and resources (e.g., network infrastructure, hardware, software, access control, servers, etc.) used by ERP on a day-to-day basis
13. Support executive leadership team as needed with a variety of projects

Knowledge, Skills, Abilities, and Qualifications:
1. Excellent communication skills
2. Ability to lead, mentor, motivate and develop a high-performing team 3. A strong command of the English language, grammar, and spelling
4. Strong knowledge of MS Office, including Word, Excel, PowerPoint and Outlook
5. Exceptional organizational skills, ability to multi-task and work under tight timelines and competing priorites
6. Well-developed analytical and problem solving skills.
7. Attention to detail and a strong focus on validating output and outcomes
8. Flexibility and ability to adapt to changing landscape and duties
9. An intrinsic commitment to improving public education, equity and life outcomes

Education and Experience Requirements:
1. An advanced degree in a relevant field or significant work experience and demonstrated proficiency in applicable technical areas
2. 5+ years of progressive leadership experience in a relevant field
3. Experience deploying, designing, optimizing, securing and supporting virtualized, hosted and cloud-based high-availability, complex data systems, applications and infrastructure
4. Familiarity with emerging and existing information technology and subject-matter-specific (e.g., public education, healthcare, criminal justice, etc.) industry-specific security and access control best practices
5. Experience effectively communicating technical information for a range of audiences in both written and oral settings
6. Experience working on large scale cloud native and internally hosted big data and data science initiatives
7. Experience with machine learning, predictive analytics and/or data visualization
8. Peer-reviewed publications and/or conference presentations in relevant subject-matter"
19,IT America,Netsuite Developer (100% Remote),$ 65-70,"San Antonio, Tx, TX",moments ago,"Role : NetSuite Developer
Location : 100% Remote
W2 Role
A top company in San Antonio is seeking a NetSuite Developer to join their team for a six month engagement with conversion to direct hire. This position allows for remote work and the ideal candidate must be eligible to convert to perm without sponsorship.
Experience required:



-4+ years experience specific to NetSuite, 5+ years total development experience including well rounded in JavaScript.
The ideal candidate will have a strong background in pure NetSuite development.
-Experience working with advanced PDF templates. The client's invoicing is very complex compared to other companies with multi- thousand page invoices and unique consolidation on their invoicing
-Suite Commerce Advanced expertise, the commerce payment portal. The client uses the commerce payment portal for their customers to see their bills and apply payments against them. They have requests from business to go back and revisit how their payment process works and continuous improvement on that process.
-Single page application development experience is a plus if the developer has non-NetSuite JavaScript development
-experience with Suitelets (extensions to SuiteScript)
-experience with SuiteCloud Development Framework (SDF)"
20,IT America,Mulesoft with SAP connector (100% Remote),$ 0-100,"Pleasanton, Ca, CA",moments ago,"The candidate should have proven expertise in SAP Connectors.
Experienced in J2EE, Java Servlets, JMS, EJB in building integration projects using MuleESB, Mule API and Mule Cloud Hub
Solid programming skills and experience troubleshooting Mule ESB, including working with debuggers, flow analyzers and configuration tools.
Experience working with RAML using Mulesoft. RAML specifications/build experience
Experience with Services Oriented Architecture and RESTful Architecture, web services development
Experience in Core Java, Messaging (JMS ), Web API - SOAP, REST and authentication methods such as OAuth and SAML
Experience with Anypoint Runtime Manager and Enterprise release capabilities is a plus
Services, XSLT, CXF, Spring Framework, etc. in order to deliver solutions. Strong knowledge of EAI/SOA best practices, development methodologies & standards
2+ years' experience working in Integration platforms"
21,PDDN Inc,Linux System Engineer ( Redhat ) - W2,$,"Durham, Nc, NC",moments ago,"12 month contract
Needs:
True System Engineer Not just operations guy
Red Hat Linux
Ansible is ideal, but Puppet and Chef will work
Change management

OB DESCRIPTION:
Essential Functions
Escalation point for regional and global technical issues from junior team members and IT team
Mentor junior staff members to promote standardization and project initiatives.
Monitors and maintains Systems and Services
Investigates and resolves problems, inefficiencies, and performance issues
Evaluates, tests, and recommends solutions
Implementation of Systems and ensures quality standards
Required to participate in an on-call rotation - 1 week every 4/6 weeks
Skills required:
Highly organized and have clear, concise communication skills
Ability to function in a Global organization with a flexible and dynamic team environment
Experienced in the design, implementation and management of Enterprise Infrastructures and Systems including: Solaris and Linux (Redhat, CentOS, Oracle Enterprise Linux, and other variants of Linux)
Experience with Server deployment and automation technologies/techniques via OEM and RHEL Satellite, and Orchestration Tools such as Ansible.
Experience with general Unix Technologies such as Samba, SNMP, NTP, PAM, SSH, Sendmail, NFS, CIFS, LVM, ZFS, Shell scripting, Patching (YUM, IPS), RPM package management, SUDO, Multipath, SFTP, DNS, SAN/NAS principles including hands on FC and iSCSI.
Experience with SAN (ZFS, Exadata, NETAPP, EMC, HP)
Education
Degree in a relevant technical area or equivalent work experience
Minimum work experience:
5-8 experience in highly available data center operations"
22,PDDN Inc,AWS Solutions Architect - W2 only,$,"Jersey City, Nj, NJ",moments ago,"we are looking for someone who can work on our W2 only
Note : we have open positions across US if you are willing to relocate .
Roles and Responsibility :
Looking for an hands on AWS cloud Architect who is passionate in doing following activities :
Providing deep software development knowledge with respect to cloud architecture, design patterns and programming

Architecting and developing client/customer applications to be cloud optimized

Advising and implementing AWS best practices

Working as both an infrastructure and application development specialist

Implementing DevOps practices such as infrastructure as code, continuous integration and automated deployment

Develop modules or build Proof of concept for integrating with multiple AWS Services

Designs and implements larger research and proof of concept projects as an individual contributor, focusing on one or a small number of technologies or applications to be implemented into a larger platform.

Expertise in articulating architectural choices within various AWS services and solution methodologies

Knowledge on migrating workloads to AWS is an added advantage
Technical Experience:
Overall 6-10 yrs. of application development experience with minimum 4+ years of good hand-on experience with AWS foundation services related to compute, network, storage, content delivery, administration and security, deployment and management, automation technologies.
Technical experience should have
Extensive experience architecting, designing and programming applications and RESTFUL Services in an AWS Cloud environment

Experience architecting highly available systems that utilize load balancing, horizontal scalability and high availability

Strong practical application development experience on Linux and Windows-based systems

Expertise in developing competencies and references through proof-of-concepts

Expertise in Infra capacity sizing, costing of AWS services to drive optimized solution architecture, leading to optimal infra investment vs performance and scale

Hands on programing skills in Node.js, Python, Java

Hands on familiarity with Cloud Formation

Experience with version control management platforms like SVN, GIT

Must have strong scripting skills in Python, Bash and PowerShell

Must have strong proficiency in AWS IAM

Must have understanding of cloud networking and cloud security fundamentals, concepts and design principles

Must have knowledge on various authentication schemes LDAP based, OpenID, Federated Identity, Single Sign On, O365

Working Knowledge in AJAX, JQuery, Pyspark is an added advantage

Experience with configuration management platforms like ansible is an added advantage

Extra curricula software development passion (e.g. active open source contributor) is an added advantage

Must have AWS Solution Architect Associate Certified

Nice to have AWS Solution Architect Professional for this role."
23,PDDN Inc,Java Production Support Developer for CTH or Full Time,$ DOE,"Salt Lake City, UT",moments ago,"Job Title: Java Production L2/L3 Support Developer
Location: Salt Lake City, UT
Duration: Contract or Full Time(Anything is fine..)
Preferred qualifications:-
Understanding of Java dev environment
Understand of database, performance tuning , SQL queries, DB related issues
Scripting, shell, AutoSys etc
Configuration and release of code
Troubleshooting and code changes
Approach of handling issues in production
Ability to handle support tickets and had done application code changes"
24,PDDN Inc,iOS Developer / Valid LinkedIn ID,$,"Sunnyvale, CA",moments ago,"Location-Sunnyvale, CA
Job Title- iOS Developer
Duration- 12 Months
Job Description:
Minimum Education and Experience required:
Bachelor's Degree in Computer Science or related field and 5 years of experience building mobile software

Minimum Skills required:
Experience with mobile software development using Swift
Experience using distributed source code version control systems (Git/Github)
Experience working within an agile development team
Experience with Apple SDKs for iOS development Experience with software debugging techniques (debuggers, loggers, crash report tools)
Experience with analysis of memory issues such as memory leaks using memory analyzers tools (Instruments)
Experience with building apps using an MVVM pattern
Experience in unit and UI testing with XCTest and XCUITest
Published iOS application is required.

Bonus points:
Experience with Combine or other Reactive frameworks
Experience with GraphQL
Experience working in a large organization and/or large team
Past experience working at a startup and/or role where you wore many hats"
25,PDDN Inc,Core Java Developer for CTH or Full Time Role,$,"New York, NY",moments ago,"Job Title: Core Java Developer
Location: New York City, NY
Duration: Contract or Full Time (Anything is fine)
Required Skills:
6+ years of proven work experience in building responsive, scalable, resilient and message driven solutions.
Strong Core Java and Spring.

Desired Skills:
Experience in Spring Boot
Experience in Agile methodology and Devops"
26,PDDN Inc,Java Developer/Architect with Kafka,$ DOE,"Atlanta, GA",moments ago,"Looking for Java Developer/Architect in Atlanta, GA for Long Term (CTH or Full Time).
Required Skills:
10 -15 years of proven work experience in building responsive, scalable, resilient and message driven solutions.
Strong Java and Spring Boot understanding.
Strong analytical and problem-solving skills
Team player with good communication skills to work effectively lead/work with global team.
Working knowledge of Kafka architecture and principles.

Desired Skills:
Experience in Agile methodology and DevOps."
27,PDDN Inc,Sr. SAP Functional ( Procurement / MM ) (100% Remote),$ market,"Miami, FL",moments ago,"ONLY W2 consultant who can work remotely and join immediately.
* Sr. SAP functional with procurement and Material management/ Inventory management.
* Release strategy in PR and PO, Workflow, External Procurement (Subcontracting, Consignment, Outline Agreements, Scheduling Agreements),
SAP procurement and MM /Inventory management- MM-IM components, GR, GI, Transfer Posting, Stock Transfer Consignment Settlement, Account Determination, Physical Inventory process, movement types, physical inventory, and cycle counting. Multiple Global Roll out experience (USA , Japan and Asia ) in broad range of industries (Medical device Or Pharma, OR Consumer prefer).
Must be able to create / familiar with MM , SD , Approve Purchase Orders.
Must be able to understand how Master Data and Supply Chain

Desired:
PMP is preferred with coordination of SAP modules implementations and coordination
Strong Project Manager / Business Analyst is desired
Must be able to work East and West Coast hours."
28,PDDN Inc,Java Developer - PCF (Pivitol Cloud Foundry),$ 50-60,"Roanoke, Tx, TX",moments ago,"Experience in REST API and Microservices
Experience in PCF (Pivitol Cloud Foundry)
Creates user information solutions by developing, implementing and maintaining Java based components and interfaces.
Write well designed, testable, efficient code and ensure designs are in compliance with specifications.
Will prepare and produce releases of software components.
Will support continuous improvements by investigating alternatives and technologies and presenting these for architectural review.
Supports users by developing documentation and assistance tools.
Completes applications development by coordinating requirements, schedules and activities; contributing to team meetings; troubleshooting development and production problems across multiple environments and operating platforms.
Must have hands on experience in designing and developing applications using Java EE platforms.
Object Oriented analysis and design using common design patterns is a must.
Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC).
Experience with test-driven development."
29,PDDN Inc,"Java Developer ( SOLR, Search Technology, Kafka)",$,"San Jose, Ca, CA",moments ago,"SENIOR SOFTWARE ENGINEER

Location
San Jose, CA
Duration
6 Months
Hours Required
8 hours a day
Need OPT, CPT , GC, EAD GC , USC ( No H1)
Description:
Apple is looking for a senior software engineer ( Search engineer)

5-7 yrs exp in -

- Expert in architecting, designing and implementing large, scalable IT solutions

- Expert in Java Programming is a must

- Hands-on experience with Spring/Spring Boot Framework is a must.

- Nice to have search technologies (Lucene or Solr) experience

- Nice to have Kafka experience."
30,PDDN Inc,Electrical Engineer,$,"Redmond, Wa, WA",moments ago,"Client
HARMAN CONNECTED SERVICES / Microsoft
Position Title & Number
Electrical Engineer
Work Location
Redmond, WA
Duration
18 Months
Rate
$70.00/Hr on C2C (Bill Rate should be complementing with related years of exp)
Work Authorization
Open
Must have skills
Circuit Design, Building PC's (Not Manufacturing), PCI/USB/HDMI, Working with Power/Battery devices, Documentation
Job Description
Description:
We are a development team, we are looking for developers
Once we have hardware - we start with scratch - schematic Work needs to be reduced
We do minor changes to bug fixes
Hardware validation and fixing bugs
Leading EE Team
Doing Root cause analysis
Finding resolution
Participating giving inputs in new design
FPGA is not required
Qualification:
Ideal experience level is 5 to 10 years
Circuit Design/ Debug and Board Design - Power - Battery - USB - PCI - High Speed Interfaces like PCI, PCB, SPY Thunderbolt/ Power Regulator/ Battery Issues exp is required
PC Industry Exp is required (Not manufacturing) - Required
PCB layout, analysis and validation of prototype systems - Required
Develop project documentation including specifications, schematic diagrams, PCB layouts, schedules and presentations to fully capture and communicate the electrical design to achieve the projects goals required
Experience using Cadence DE-HDL schematic capture and Allegro layout design tools - Required
System Level Exp with PC is required
Board level design/ documentation
Experience in Building PC"
31,IT America,Oracle/Hyperion EPBCS Techno-Functional Consultant,$ 80-85,"Houston, TX",moments ago,"Hello,
We are looking for a Sr. Oracle/Hyperion EPBCS Techno-Functional Consultant for one of the System integrator clients in the Washington, DC area,
We are looking for the candidate to be on-site, the candidate should be techno-functional i.e. one can understand the process and client requirement thoroughly and map it to the existing design and if required should be able to troubleshoot the codes written.
Note: We have a 100% hold on this role and can close the position with the right candidate
Oracle/Hyperion EPBCS Techno-Functional ConsultantW
Washington, DC
6 Months contract
COVID remote then onsite
Job requirement:
Sound experience in Oracle Cloud EPBCS.

Design and configure end-to-end Oracle EPBCS application that includes finance, workforce, and CAPEX modules.

Design and build cube outlines, business rules.

Design and build web forms and security filters.

Design and build access controls for all EPBCS application artifacts.

Configure Workflow Approval governance process for EPBCS application.
Click here to Apply
***** NO PHONE CALLS PLEASE ********"
32,IT America,Apache Webserver/ C++,$ 65-65,Durham,moments ago,"Title : Principal Software Engineer (Apache Webserver / C++)
Location: Durham, NC
W2
Principal Software Engineer (Apache Webserver / C++)
Fidelity TalentSource is your destination for discovering your next temporary role at Fidelity Investments. We are currently sourcing for a Principal Software Engineer to work in Fidelity's Enterprise CyberSecurity Division in Durham, NC!
Enterprise CyberSecruity is responsible for delivering appropriate security solutions to ensure enterprise resources are protected in a constantly evolving cyber-threat landscape.
The Team
The team works on building webserver centric (Apache) development framework providing a set of platform independent libraries and utilities to aid the development of webserver services. The capabilities include but not limited to Data Validation, Transaction routing, Compression, Protocol Validation, Certificate enforcement and so on.
The Expertise You Have
B.S.in Computer Science preferred, Engineering / Mathematics or comparable
10+ years of webserver development experience building scalable and high efficiency web applications
Experience building and deploying cloud enabled applications using 12 factor design.
Hands on experience with automation & pipeline implementation (Testing, Continuous Integration / Continuous Delivery pipeline)

The Skills You Bring
You have experience and feel confident working in an agile environment (Scrum and Kanban)
You possess strong engineering skills and experience developing maintainable, scalable multi-tiered applications
You are a strategic thinker, bring your curiosity and excitement; desire to collaborate and work closely in a paired programming environment; be energized by fast, iterative and extreme programming practices
Open to direction and following agreed upon standards; yet be comfortable with ambiguity and enjoy experimenting, developing, and communicating alternatives
You have maniacal focus on automation and always looking towards reducing waste and improving efficiencies
Enjoy communicating and learning the business behind the application
Hands-on experience in designing and developing using the following technologies
Unix and Shell scripting skills
10+ years of experience with Apache Webserver Development and relevant modules
10+ years of C++ programming skills and XML development.
Experience with SOA and API frameworks such as SOAP and REST.
Pipeline/Build tools GIT, Maven, Gradle, Jenkins, Docker, uDeploy desired.
Experience with Container Orchestration(Kubernetes) is a must
Experience with NGNIX webserver development is a plus
Experience with Akamai Security Solutions suite is a plus

The Value You Deliver
Collaborating in an autonomous team, owning all aspects of delivery (Coding, Quality, DevSecOps)
Being a phenomenal teammate developing/deploying software in a fast-paced and highly flexible environment
Continued focus on improving test coverage, release velocity and production health
Working with global Agile teams and will contribute to improving engineering practices
Exercising operational expertise in a team, targeting Engineering and DevOps excellence
Forever learning and growing your skillsets to be an active contributor to a well-rounded team
Automating yourself out of today's job so that you can move on to the next big challenge"
33,IT America,Software Engineer (Sailpoint/Java) (100% Remote),$ 65-70,"Durham, NC",moments ago,"Position Title: Software Engineer (Sailpoint / JAVA)
Location: Durham, NC
Duration: Long Term
The Team
The Access Lifecycle Management (ALM) team builds and manages digital identities and their access entitlements for employees and contractors and other contingents from initial onboarding through separation.
The Expertise You Have
B.S.in Computer Science preferred, Engineering / Mathematics or comparable
8+ years of full stack software programming experience building scalable and high efficiency web applications
Experience building API's a must
Experience building and deploying cloud enabled applications using 12 factor design.
Hands on experience with automation & pipeline implementation (Testing, Continuous Integration / Continuous Delivery pipeline)

The Skills You Bring
You have hands-on experience in designing and developing using the following technologies

Unix and Shell scripting skills
Common programming languages such as core Java, Springboot
Experience with SOA and API frameworks such as SOAP and REST
Pipeline/Build tools GIT, Maven, Gradle, Jenkins, Docker, uDeploy desired.
Front end skills including JavaScript, JQuery, AngularJS, NodeJS and React is a plus
Experience of Sailpoint product is ideal

You have experience and onboard with working in an agile environment (Scrum and Kanban)

Kiran
732-662-6437"
